video_id,title,description,comment,published_at,author_display_name,comment_like_count,comment_count,video_dislike_count,video_favourite_count,video_like_count,video_view_count,channel_subscriber_count
QVwlkRNd8tY,University sending Students back to Home | Adios Students | Stay Safe | Graphic Era University,"Graphic Era University took a great initiative to send its students who were living in University's hostel to their homes. As the condition of our country, as well as the world, is getting worsen day by day due to Covid-19. Considering the same, University's management arranged Flight tickets to Hyderabad & Lucknow, Busses to Delhi, Meerut, Haldwani, and many other places for the students.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",Nice initiative taken by university...thanks a lot,2021-04-19T13:19:25Z,Rekha Chopra,3,3,19,0,284,3487,9800
GsM7i2Dy_rA,Chairman Sir Address | Prof. Kamal Ghanshala  | Graphic Era University,"Thank you for your birthday wishes - A video message for all by Hon�ble Chairman, Graphic Era Group of Institutions, Prof. Kamal Ghanshala - Also holds some important announcement.

#GraphicEraUniversity #BirthdayWishes #ThankYou

For more details :
https://linktr.ee/graphicera",comments disabled,2021-04-16T07:23:38Z,,,,,,,,9800
nB8mXZaVItk,University sending Students back to Home | North East Region | Stay Safe | Graphic Era University,"Students from (NER) North-East Region shared their views when assisted by the University on arranging conveyance via air route to their home.

#GraphicEraUniversity #NER_Students

For more details :
https://linktr.ee/graphicera",,2021-04-26T10:38:34Z,,,0,4,0,56,1053,9800
RAUMUTXXLHM,University sending Students back to Home | Stay Safe | Graphic Era University | Dehradun,"Day 3 of Students sending back to their homes. Graphic Era University ensuring the safe reach of its students to their respective places via Air route or Roadways providing Flight tickets and Busses. Amidst this pandemic, the safety of students is at utmost priority and cannot be compromised.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",Good thing 😭😭you guys arrived first. We're still here waiting lol🙏🙏😭,2021-04-22T10:28:25Z,Lul Thapo,1,1,12,0,82,1306,9800
ZvVrGBzioPc,Graphic Era in News | Sending Students back to Home | Dehradun | Uttarakhand |Graphic Era University,"The initiative taken by the University (Graphic Era University) to send its students back home was appreciated and published by many news channels as well as Newspapers and Social Media Handles. A detailed report is shared with you all.

#GraphicEraUniversity #NewsReports #Dehradun

For more details :
https://linktr.ee/graphicera",Proud moment salute to all faculties and  kamal ghansala sir respect. The way you work❤️❤️❤️❤️👍👍👍👍 thank u sir on behalf of all graphains,2021-04-22T04:30:22Z,kawasaki rider ak,3,5,16,0,149,3501,9800
WPfcoeIXrnA,Webinar | Indo- china  relations in the era of Biden | Shri  Shivshankar Menon | Graphic Era,"Department of Humanities & Social Sciences,  Graphic Era Deemed to be University, Dehradun invites you for a webinar on  'Indo- China relations in the era of Biden'  by  Shri Shivshankar Menon, Former National Security Advisor,  Former Indian Foreign Secretary,  High Commissioner to Pakistan and Sri Lanka,  Ambassador to China And Israel,  Member of Atomic Energy Commission of India on 20th April 2021 // 04:30 PM   

The Webinar promises to be an extremely informative and productive one - hence, Graphic Era University is opening it to students of all Universities across the country.  

Register Now! https://bit.ly/3tvakm4 

Streaming Live on Youtube/Facebook Channel",Proud moment salute to all faculties and  kamal ghansala sir respect. The way you work❤️❤️❤️❤️👍👍👍👍 thank u sir on behalf of all graphains,2021-04-19T04:41:45Z,kawasaki rider ak,3,0,2,0,47,777,9800
vQ8Ee-b5gxk,Sending Students Back to Home | GEHU Bhimtal | Graphic Era Hill University | Graphic Era University,"Another campus of Graphic Era Hill University also arranged conveyance for its students to reach home safely.

#GraphicEraHillUniversity #Bhimtal #GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",Proud moment salute to all faculties and  kamal ghansala sir respect. The way you work❤️❤️❤️❤️👍👍👍👍 thank u sir on behalf of all graphains,2021-04-20T10:07:27Z,kawasaki rider ak,3,0,3,0,57,1135,9800
cwQNioF77oA,President's Message • Covid Situation | Stay Safe | Prof. Kamal Ghanshala | Graphic Era University,"The pandemic can be seen and analyzed by all of us. In this tough situation we all need is support from our near and dear ones but being away from each other. Prof. Kamal Ghanshala, President, Graphic Era group of Institutions shared his views on the current situation.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera","Truly a Commendable Humanitarian Job Done..
Congratulations to Graphic Era University.
God Bless You  🙏❤️",2021-04-19T14:41:53Z,PARTHO SEN,4,1,5,0,103,1333,9800
QVwlkRNd8tY,University sending Students back to Home | Adios Students | Stay Safe | Graphic Era University,"Graphic Era University took a great initiative to send its students who were living in University's hostel to their homes. As the condition of our country, as well as the world, is getting worsen day by day due to Covid-19. Considering the same, University's management arranged Flight tickets to Hyderabad & Lucknow, Busses to Delhi, Meerut, Haldwani, and many other places for the students.

#GraphicEraUniversity

For more details :
https://linktr.ee/graphicera",Nice initiative taken by university...thanks a lot,2021-04-19T13:19:25Z,Rekha Chopra,3,3,19,0,284,3487,9800
GsM7i2Dy_rA,Chairman Sir Address | Prof. Kamal Ghanshala  | Graphic Era University,"Thank you for your birthday wishes - A video message for all by Hon’ble Chairman, Graphic Era Group of Institutions, Prof. Kamal Ghanshala - Also holds some important announcement.

#GraphicEraUniversity #BirthdayWishes #ThankYou

For more details :
https://linktr.ee/graphicera",Many Many happy returns of the day sir.. 🎂,2021-04-16T07:23:38Z,Kushagra Bhatt,3,16,12,0,207,1867,9800
ewgZeJuUgGM,Birthday Wishes to Honorable Chairman Sir | GEHU Haldwani | Happy Birthday | Graphic Era University,"On this special day, we all wish you many more happiest birthdays! Your dedication, determination, and vision inspire us to always give our best. We appreciate having someone wonderful like you at the helm of affairs.

#GraphicEraUniversity​ #BirthdayWishes​

For more details :
https://linktr.ee/graphicera",Happy birthday sir ❤️❤️,2021-04-15T12:05:33Z,uk12 boy,1,1,3,0,30,673,9800
j4I_t-7c7pI,Birthday Wishes to Honorable Chairman | Happy Birthday Sir | Graphic Era University,"On this special day, we all wish you many more happiest birthdays! Your dedication, determination, and vision inspire us to always give our best. We appreciate having someone wonderful like you at the helm of affairs.

#GraphicEraUniversity​ #BirthdayWishes​

For more details :
https://linktr.ee/graphicera",😇😇Happy birthday sir,2021-04-15T11:57:48Z,Jyoti Bhasin,1,4,9,0,17,612,9800
QRsYici782U,Birthday Wishes to Honorable Chairman Sir | GEHU Bhimtal | Happy Birthday | Graphic Era University,"On this special day, we all wish you many more happiest birthdays! Your dedication, determination, and vision inspire us to always give our best. We appreciate having someone wonderful like you at the helm of affairs.

#GraphicEraUniversity​ #BirthdayWishes​

For more details :
https://linktr.ee/graphicera",Happy Birthday sir,2021-04-15T11:43:24Z,Chandan Verma,2,6,5,0,41,511,9800
pKBWd2B2Muk,Birthday Wishes to Honorable Chairman Sir | Kavyanjali Club | Graphic Era University,"On this special day, we all wish you many more happiest birthdays! Your dedication, determination, and vision inspire us to always give our best. We appreciate having someone wonderful like you at the helm of affairs.

#GraphicEraUniversity #BirthdayWishes

For more details :
https://linktr.ee/graphicera",Happy Birthday sir,2021-04-15T11:31:26Z,Chandan Verma,1,4,6,0,52,405,9800
AfdgbS087ec,National Panel Discussion on Gender Concerns in Governance || Graphic Era University,"Gender equality depends on democratic and gender-sensitive governance. However, the participation of women and men in formal and informal decision-making structures varies greatly between countries, and is usually in favor of men. Institutional as well as cultural, economic and societal factors limit women’s opportunities and abilities to participate in decision making. Gender governance is about attempts to change gender regimes by inserting new policies, procedures, and values through global and multilevel governance. It studies, for example, the representation of women in electoral bodies and parties, theorizes representation in political bodies, and looks at the organization of welfare politics. The Panel Discussion on Gender Concerns in Governance is an effort by the Department of Humanities and Social Sciences, Graphic Era (Deemed to be) University, Dehradun to discuss and debate current policy issues in a variety of contexts and locations. The speakers address issues such as Gender-responsive Budget and Women’s formal participation and representation in the structures of governance. 
The Panelists of the day are: 

Session 1: Gender Responsive Budget
Prof. Lekha Chakraborty
Prof. Vibhuti N Patel
Prof. Raj Dhar

Session 2: Women Participation and Representation in Formal Structures of Governance
Ms. Mira Iyer
Ms. Debajanee Bora
Dr. Rukmani",Happy Birthday sir,2021-04-15T03:46:49Z,Chandan Verma,1,0,6,0,47,719,9800
gxlZAjJFaq4,Ugadi Celebration | Gudi Padwa | Baisakhi | Graphic Era University | Festival | Celebration,"Ugadi/Yugadi, also known as Samvatsaradi, is the New Year's Day for the States of Telangana, Andhra Pradesh, Karnataka in India. It is festively observed in these regions on the first day of the Hindu lunisolar calendar month of Chaitra.

Vaisakhi, also pronounced as Baisakhi is observed by Hindus and Sikhs. It also marks the beginning of Hindu solar New year. Vaisakhi marks the first day of the month of Vaisakha, is usually celebrated on 13 or 14 April every year and is a historical and religious festival in Hinduism.

#GraphicEraUniversity #Festival #Celebration

For more updates:
https://linktr.ee/graphicera",Happy Birthday sir,2021-04-13T11:30:39Z,Chandan Verma,1,0,3,0,86,1159,9800
9azqmVsMV30,Placements Offers 2021 • HSBC | B Tech CSE | Passing out Batch 2021 | Graphic Era University,"Graphic Era University feels immense pleasure to announce the placement of its B.Tech Computer Science & Engineering students at HSBC. We wish them Good luck in their future endeavors.

#GraphicEraUniversity #Placements2021 #HSBC

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",Congratulations.,2021-04-06T07:30:30Z,Akshay Rajput,3,5,15,0,127,1614,9800
RO-f2lcujP8,Virtual Alumni Meet 2021 | Graphic Era Alumni Association | Registration Open,"Celebrating The Bond That Connects Us All!

Graphic Era Alumni Association cordially invites our cherished alum to the much awaited “Virtual Alumni Meet” to relive the golden moments with Hon’ble Chairman sir, friends & batch mates!

Join us on 17th April 2021 (Domestic Meet – 6 PM) & 18th April 2021 (Overseas Meet – Time will be announced later). Registrations Open Now!!

Submit your confirmation by registering on the link below.
Link: https://geu.almaconnect.com/event_calendar/virtual-alumni-meet-2022

Hurry! Registrations closing on 14th April 2021.

Reconnect! Reminisce! Rediscover!

#GraphicEraUniversity

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",Congratulations.,2021-04-03T12:04:53Z,Akshay Rajput,3,0,3,0,19,610,9800
aePoFM-ua1o,Sadhvi Ji | Sadhvi Bhagwati Saraswati | Wise Words | Graphic Era | Dehradun | Women's Day,"On the occasion of Women's Day, Graphic Era Deemed to be University celebrated the day by inviting prominent female speakers from different professions. Sadhvi Bhagawati Saraswati Ji commonly known as Sadhvi Ji (Secretary-General Of The Global Interfaith WASH Alliance) enlightened the audience with her wise words in the event.

#GraphicEraUniversity #WomensDay

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official","Eagerly waiting for joining my college , god please make my first day as my special day so as I can build my  confidence to make my  all days as first day. 👍",2021-03-16T05:15:31Z,anubhav tyagi,4,9,10,0,37,663,9800
PyqvaX8pMBA,Women's Day | Celebration | Graphic Era University | Graphic Era Alumni Association | Dehradun,"Graphic Era Alumni Association celebrated International Women's Day, in the event staff members, faculties and students showcased their dancing, singing, and poetry skills. 

#GraphicEraUniversity #Women'sDay 

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",Happy women’s day everyone!,2021-03-08T13:23:14Z,Aditya Agnihotri,1,2,5,0,158,3097,9800
T05qhnVxlTg,Welcome Home | Graphic Era University | Reopens | Students Reviews,"Graphic Era University welcomes its students on the campus after a long period. As the university was closed for regular offline classes due to a pandemic. Here are some views of the students joining back.

#GraphicEra #Welcomes #Students 

Graphic Era Deemed to be University

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",I m too excited to join campus but there is still one month to go😁,2021-02-27T06:37:26Z,anubhav tyagi,3,18,202,0,176,2973,9800
I8-e01tMlM0,Trekking | Mussoorie | Graphic Era University | Dehradun | Uttarakhand,"#GraphicEra #Mussoorrie #Trekking

This trek was organized by the Graphic Era Alumni Association. Every year Graphic Era conducts one-day Trekking to Mussoorie for their students and Faculties. As it makes all of us refreshed and also connects with nature. Several events are conducted in this trekking like Yoga, Dance, Music, and many more.

Graphic Era Deemed to be University

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",Wow✨✨🤩🤩,2021-02-18T10:23:36Z,Arnav Sharma,1,3,12,0,126,2687,9800
kzkAedMRTWY,NCC I National Cadet Corps I Documentary | Graphic Era | Republic Day Special,"#GraphicEra is an institute well renowned for its academic excellence. The Institute also has its own BOYS #NCC WING which was established on 16th April 2010 with its first ever batch of 53 cadets and GIRLS NCC WING which was established on 17th July 2009. The BOYS WING is attached to the NCC 29 UK Battalion while the GIRLS WING is attached to the NCC 11 UK Battalion. The cadets of Graphic Era Deemed to be University are well-trained by the senior cadets in the campus itself. Both the wings conduct a parade on Republic Day and Independence Day with great zeal and enthusiasm describing the NCC motto i.e. Unity and Discipline. Along with the physical training the cadets are also trained how to behave ethically following the rules and regulations of the university in and around the campus.
The Graphic Era NCC is under the commands of a well trained Associate NCC Officers, separately for the BOYS and the GIRLS wing each.",Jai hind,2021-01-26T15:23:22Z,Sushant Negi,3,19,8,0,470,5698,9800
67xRkaSO03U,Republic Day Celebrations 2021 | Graphic Era Deemed to be University,"Sare jahan se accha #Hindustan hamara… 

#Graphicera today pledges again to serve the part in the diverse homeland we live in, pledge today to make the most of the time we get to serve the citizens of the country we live in. The #RepublicDay was celebrated with fervour and zest, no less than on the previous occasions, with the pandemic not dampening the spirits of our fellow country men. 

All hail our motherland! Jai Hind!

Music By : https://elements.envato.com/army-ME2CTAU",Jay Hind,2021-01-26T13:48:09Z,uk12 boy,1,20,14,0,217,2636,9800
f8nWw_6WSvw,Patent | Biotechnology | Graphic Era University | Uttarakhand | India,"""The human body is a magazine of inventions, the patent office, where are the models from which every hint is taken. All the tools and engines on earth are only extensions of its limbs and senses""- Ralph Waldo Emerson

Graphic Era beams with pride for being awarded the very first patent to the university by the Intellectual Property India, Government of India.

The patent is awarded to Dr. Pankaj Gautam, Dr. Navin Kumar, Dr. Nishant Rai, and Dr. Ashish Thapliyal, for their research and innovation entitled PRIMERS PROBES AND TEST KIT FOR THE DETECTION OF SALMONELLA.

Heartiest congratulations and best wishes to the esteemed faculty members for the fabulous achievement!

Website : http://www.geu.ac.in/

Facebook : https://www.facebook.com/GEUOfficial/

Instagram : https://www.instagram.com/geuofficial/

LinkedIn : https://www.linkedin.com/school/graphic-era-official/

Twitter : https://twitter.com/GEU_Official",Many many congratulations Dr. Navin bhai... Proud of you,2021-01-24T09:46:33Z,Dr. Avadhesh Sharma,3,6,5,0,88,848,9800
yRKQi-8JeNM,Blood Donation Camp 2021 | Graphic Era Deemed to be University,"Tum Mujhe Khoon Do, Main Tumhe Aazadi Dunga” - In memory of the great Netaji Subhash Chandra Bose, Graphic Era Alumni Association held a Mega Blood Donation Drive today at Graphic Era (Deemed to be University) and Graphic Era Hill University (Dehradun Campus).
 
The event, of augmented importance due to the worldwide pandemic, saw huge participation from the students present on the campus as well as Faculty Members and staff. A total of 236 Units of Blood was donated, which is another record for blood donation during the pandemic.
 
We have a long and glorious history of contributing the highest in blood donation drives, and we hold our heads high for that. Graphic Era promises to keep on this track and work relentlessly to contribute to this noble cause for countless years to come! Be a proud blood donor!
 
Congratulations to all the donors, you are all heroes!",Many many congratulations Dr. Navin bhai... Proud of you,2021-01-24T08:05:47Z,Dr. Avadhesh Sharma,3,0,3,0,73,875,9800
#NAME?,Programs for Lecture 5 | Flowcharts for Programming | Graphic Era,Flowchart for Programming - Lecture 5 | Prof. Kamal Ghanshala | Graphic Era University: https://youtu.be/fMXp_MzDZXU,"Heads up to u sir . Great explaination 
I understand all the stuff of concepts",2021-01-23T07:47:24Z,Adesh Sengar,3,2,4,0,56,772,9800
Z7BH4hMctsw,Programs for Lecture 6 | Flowcharts for Programming | Graphic Era,Flowchart for Programming - Lecture 6 | Prof. Kamal Ghanshala | Graphic Era University: https://youtu.be/KE8_uVxMwWk,"Heads up to u sir . Great explaination 
I understand all the stuff of concepts",2021-01-23T07:47:29Z,Adesh Sengar,3,0,3,0,66,1460,9800
FbHxGvLhQg4,Programs for Lecture  4  | Flowcharts for Programming | Graphic Era,Flowchart for Programming - Lecture 4 | Prof. Kamal Ghanshala | Graphic Era University: https://youtu.be/cqKUjcnkJJc,"Heads up to u sir . Great explaination 
I understand all the stuff of concepts",2021-01-23T07:47:21Z,Adesh Sengar,3,0,3,0,70,795,9800
8kpA8HNQskE,Programs for Lecture 2 | Flowcharts for Programming | Graphic Era,"Flowcharts for Programming - Lectures  | Prof. Kamal Ghanshala | Graphic Era University 
Lecture 3: https://www.youtube.com/watch?v=rngk01j7cIQ
Lecture 4: https://www.youtube.com/watch?v=cqKUjcnkJJc","Sir instead of   num>9 we can may use 

-9 <=num <= 9 then it would be single digit ....
Bcz..  num less than -9  also multi digit",2021-01-14T18:14:01Z,Saurabh Pant,0,1,1,0,75,1150,9800
S9Tu4dhtvQY,Programs for Lecture 3 | Flowcharts for Programming | Graphic Era,"Flowcharts for Programming - Lectures  | Prof. Kamal Ghanshala | Graphic Era University 
Lecture 5: https://www.youtube.com/watch?v=fMXp_MzDZXU&list=PLNqfpBj18rUbxhl2vGXnk_kjosgVLBdMq&index=2
Lecture 6: https://www.youtube.com/watch?v=KE8_uVxMwWk&list=PLNqfpBj18rUbxhl2vGXnk_kjosgVLBdMq&index=1",Hardworking @mohantes sir....inspiration for everyone,2021-01-14T18:15:54Z,Ashish Kumar Sharma,9,1,1,0,65,993,9800
EExHOMzkmZ0,Programs for Lecture 1 | Flowcharts for Programming | Graphic Era,"Flowcharts for Programming - Lectures  | Prof. Kamal Ghanshala | Graphic Era University 
Lecture 1: https://youtu.be/mZfN8Fl0OR0 
Lecture 2: https://www.youtube.com/watch?v=UsoaAa3iMQ0",Hardworking @mohantes sir....inspiration for everyone,2021-01-14T18:03:03Z,Ashish Kumar Sharma,9,0,3,0,94,1531,9800
KE8_uVxMwWk,Flowchart for Programming - Lecture 6 | Prof. Kamal Ghanshala | Graphic Era University,Programs for Lecture 6 | Flowcharts for Programming | Graphic Era: https://youtu.be/Z7BH4hMctsw,Very nicely explained sir ..,2021-01-06T08:18:14Z,anubhav tyagi,3,6,12,0,143,4072,9800
fMXp_MzDZXU,Flowchart for Programming - Lecture 5 | Prof. Kamal Ghanshala | Graphic Era University,Programs for Lecture 5 | Flowcharts for Programming | Graphic Era: https://youtu.be/-Ah_Fognj9U,⭐,2020-12-29T12:26:00Z,anubhav tyagi,2,6,26,0,183,4592,9800
cqKUjcnkJJc,Flowchart for Programming - Lecture 4 | Prof. Kamal Ghanshala | Graphic Era University,Programs for Lecture  4  | Flowcharts for Programming | Graphic Era : https://youtu.be/FbHxGvLhQg4,"Abhishek jindal 
Sec-ds 
Thank you sir it was really helpful",2020-12-14T04:18:40Z,Abhishek Jindal,3,4,6,0,205,4314,9800
rngk01j7cIQ,Flowchart for Programming - Lecture 3 | Prof. Kamal Ghanshala | Graphic Era University,Watch Programs for Lecture 3 | Flowcharts for Programming : https://youtu.be/S9Tu4dhtvQY,Good old days,2020-12-10T16:26:30Z,krishan chand,4,10,15,0,227,5137,9800
UsoaAa3iMQ0,Flowchart for Programming - Lecture 2 | Prof. Kamal Ghanshala | Graphic Era University,"Watch Programs for Lecture 2 | Flowcharts for Programming : https://youtu.be/8kpA8HNQskE

Here's part 2 of Creating #Flowcharts for #Programming! After a thorough and illuminating introduction to Flowcharts, here's an in-depth lecture on it's importance and it's implementation. 

This lecture illuminates how to construct effective Flowcharts for efficient programming by Prof. #KamalGhanshala, Hon’ble Founder President, Graphic Era Group of Institutions, who has decided to lead the charge in the online education paradigm for Graphic Era, by stepping up and taking the lead in delivering top-notch lectures every day through digital mediums.",Nice,2020-12-08T09:42:14Z,Siddhartha Singh,2,15,19,0,284,5970,9800
mZfN8Fl0OR0,Flowcharts for Programming - Lecture 1 | Prof. Kamal Ghanshala | Graphic Era University,"Watch Programs for Lecture 1 | Flowcharts for Programming : https://youtu.be/EExHOMzkmZ0

A #Flowchart is a graphical representation of an algorithm. Programmers often use it as a program-planning tool to solve a problem. They are made of simple geometric shapes to depict processes and arrows to show relationships and process/data flow. 

This lecture illuminates how to construct effective Flowcharts for efficient programming by Prof. #KamalGhanshala, Hon’ble Founder President, Graphic Era Group of Institutions, who has decided to lead the charge in the online education paradigm for Graphic Era, by stepping up and taking the lead in delivering top-notch lectures every day through digital mediums.

He is a professor in Computer Science with unparalleled excellence and has been teaching Data Structures and Advanced Data Structures to the students, in direct classroom sessions for decades. After founding the immensely reputed Graphic Era Group of Institutions 27 Years ago, he has continued his passion for teaching and still teaches every single day.

For more lectures on #ComputerScience # Programming #DataStructure, #AdvancedDataStructures and #Algorithms, along with Programs related to these topics, please subscribe and press the bell icon to stay updated with the new videos.","Sir the keywords like start, print, input words should be in capital always?",2020-12-07T09:29:50Z,Tanishq Gupta,2,24,37,0,646,9419,9800
zdUH9rBactQ,C Program for inserting nodes in BST using Double Pointer| Prof.Kamal Ghanshala | Graphic Era,,Tanuja kholiya_J _III sem,2020-10-26T14:04:30Z,Tanuja Kholiya,0,198,10,0,154,2767,9800
